election_date,race,county,dem_candidate,rep_candidate,dem_votes,rep_votes,total_votes,source_url
2024-11-05,2024 Wisconsin U.S. Senate,Langlade,Tammy Baldwin,Eric Hovde,3830,7444,11558,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Lincoln,Tammy Baldwin,Eric Hovde,6572,10119,17092,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Manitowoc,Tammy Baldwin,Eric Hovde,17627,27201,45966,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Marathon,Tammy Baldwin,Eric Hovde,31883,44779,78312,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Marinette,Tammy Baldwin,Eric Hovde,7678,15730,24129,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Marquette,Tammy Baldwin,Eric Hovde,3405,5729,9371,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Menominee,Tammy Baldwin,Eric Hovde,1203,288,1535,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Milwaukee,Tammy Baldwin,Eric Hovde,315402,131700,457507,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Monroe,Tammy Baldwin,Eric Hovde,8647,13860,23163,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Oconto,Tammy Baldwin,Eric Hovde,7180,16959,24705,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Oneida,Tammy Baldwin,Eric Hovde,10272,13898,24667,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Outagamie,Tammy Baldwin,Eric Hovde,49196,59077,111106,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Ozaukee,Tammy Baldwin,Eric Hovde,27208,34914,63073,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
